name,Latitude,Longitude,group,protein (g),sodium (g),fiber (g),carbohydrate (g),sugars (g),fat (g),calories,saturated (g),monounsat (g),polyunsat (g),id
"APPLEBEES, family style, fried mozzarella sticks",40.294019,-74.682432,Dairy and Egg Products,14.89,0.794,1.8,24.89,2.22,18.92,329,6.983,4.709,5.176,35108
"APPLEBEES, family style, shrimp, breaded and fried",40.294019,-74.682432,Dairy and Egg Products,12.85,0.853,1,20.01,0.74,18.1,294,3.325,4.344,9.033,35110
"APPLEBEES, family style, sirloin steak",40.294019,-74.682432,Dairy and Egg Products,28.78,0.307,,0.07,,7.88,186,2.952,3.265,0.61,35111
"BURGER KING, Cheeseburger",40.369878,-74.663445,Spices and Herbs,14.57,0.602,2.8,23.71,4.49,14.81,286,6.842,5.704,1.521,34322
"BURGER KING, Chicken Tenders",40.369878,-74.663445,Spices and Herbs,17.25,0.721,2.3,17.41,0.12,16.67,289,,,,34318
"BURGER KING, Chicken Whopper Sandwich",40.369878,-74.663445,Spices and Herbs,11.77,0.433,1.5,18.67,3.39,10.52,216,2.198,3.1,4.76,34323
"BURGER KING, Croissan",40.369878,-74.663445,Spices and Herbs,10.35,0.65,0.7,24.79,4.03,15.78,283,4.766,6.668,2.93,34319
"BURGER KING, Double Whopper, no cheese",40.369878,-74.663445,Spices and Herbs,13.94,0.289,1.4,13.74,3.52,15.66,252,5.773,6.117,3.016,34324
"BURGER KING, Double Whopper, with cheese",40.369878,-74.663445,Spices and Herbs,14.47,0.387,1.6,13.52,3.61,17.06,266,6.998,6.298,2.987,34325
"BURGER KING, French Fries",40.369878,-74.663445,Spices and Herbs,3.5,0.455,2.9,40.08,0.69,17.4,331,,,,34326
"BURGER KING, French Toast Sticks",40.369878,-74.663445,Spices and Herbs,6,0.428,1.4,41.21,9.89,17.74,349,3.989,9.502,2.566,34327
"BURGER KING, Hamburger",40.369878,-74.663445,Spices and Herbs,14.18,0.455,2,27.11,4.85,12.17,275,5.068,5.317,1.246,34328
"BURGER KING, Hash Brown Rounds",40.369878,-74.663445,Spices and Herbs,2.87,0.511,2.9,34.55,0.27,24.35,369,,,,34329
"BURGER KING, Original Chicken Sandwich",40.369878,-74.663445,Spices and Herbs,12.57,0.59,2.4,24.35,2.71,15.4,286,,,,34330
"BURGER KING, Vanilla Shake",40.369878,-74.663445,Spices and Herbs,3.19,0.1,,19.03,11.67,8.74,168,5.335,2.47,0.434,34331
"D'ANGELO ITALIAN MARKET, Lasagna with meat & sauce",40.351068,-74.659184,Baby Foods,8.26,0.28,1.2,12.87,2.13,4.73,127,2.245,1.781,0.336,34722
"D'ANGELO ITALIAN MARKET, Lasagna, Cheese",40.351068,-74.659184,Baby Foods,6.54,0.284,1.7,13.84,4.23,5.33,130,2.11,1.573,1.022,34724
"D'ANGELO ITALIAN MARKET, Pasta with tomato sauce, no meat",40.351068,-74.659184,Baby Foods,2.54,0.25,1.3,14.56,4.91,0.77,75,0.232,0.18,0.272,34733
"D'ANGELO ITALIAN MARKET, Spaghetti, with meatballs",40.351068,-74.659184,Baby Foods,4.17,0.406,,11.11,,5.1,107,1.98,2.216,0.36,34736
"D'ANGELO ITALIAN MARKET, Tortellini, pasta with cheese",40.351068,-74.659184,Baby Foods,13.5,0.616,1.9,47,0.95,7.23,307,3.6,2.066,0.461,34737
"DENNY'S, French fries",40.143916,-74.701562,Fats and Oils,3.47,0.046,3.5,35.06,,15.16,291,2.69,3.713,7.429,35079
"DENNY'S, golden fried shrimp",40.143916,-74.701562,Fats and Oils,11.51,0.877,1,20.21,,16.67,277,2.943,4.101,8.378,35081
"DENNY'S, macaroni & cheese, from kid's menu",40.143916,-74.701562,Fats and Oils,5.95,0.317,1.5,21.09,,4.27,147,1.153,1.951,1.132,35082
"DENNY'S, MOONS & STARS chicken nuggets, from kid's menu",40.143916,-74.701562,Fats and Oils,18.02,0.656,1,10.57,,22.41,316,4.915,7.165,8.304,35080
"DENNY'S, mozzarella cheese sticks",40.143916,-74.701562,Fats and Oils,13.92,0.933,1.7,26.2,,18.89,330,7.203,4.695,5.506,35083
"DENNY'S, top sirloin steak",40.143916,-74.701562,Fats and Oils,28.9,0.349,,0.14,,7.34,182,2.595,2.84,0.672,35084
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",40.364556,-74.663983,Poultry Products,10.98,0.478,1.4,34.45,3.57,8.39,257,3.547,1.976,1.583,34342
"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",40.364556,-74.663983,Poultry Products,12.96,0.497,2.1,28.01,3.17,16.82,315,6.756,4.217,3.646,34343
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",40.364556,-74.663983,Poultry Products,11.6,0.507,1.5,32.29,3.45,10.54,270,4.255,3.137,1.75,34346
"HUNAN CHINESE RESTAURANT, Chinese, beef and vegetables",40.354018,-74.661474,"Soups, Sauces, and Gravies",7.08,0.409,1.5,7.29,2.41,5.3,105,0.978,1.217,2.13,35085
"HUNAN CHINESE RESTAURANT, Chinese, egg rolls, assorted",40.354018,-74.661474,"Soups, Sauces, and Gravies",8.28,0.468,2.6,27.29,,11.94,250,2.116,3.036,5.601,35086
"HUNAN CHINESE RESTAURANT, Chinese, fried rice",40.354018,-74.661474,"Soups, Sauces, and Gravies",4.67,0.396,1.1,30.99,0.42,2.27,163,0.497,0.598,0.947,35087
"HUNAN CHINESE RESTAURANT, Chinese, general tso's chicken",40.354018,-74.661474,"Soups, Sauces, and Gravies",12.9,0.435,0.9,23.99,11.6,16.36,295,2.76,3.879,7.501,35088
"HUNAN CHINESE RESTAURANT, Chinese, kung pao chicken",40.354018,-74.661474,"Soups, Sauces, and Gravies",9.76,0.402,1.5,6.87,3.03,6.98,129,1.352,2.173,3.02,35089
"HUNAN CHINESE RESTAURANT, Chinese, lemon chicken",40.354018,-74.661474,"Soups, Sauces, and Gravies",10.77,0.243,1.1,19.15,8.67,11.76,226,1.912,2.567,5.768,35090
"LITTLE CAESARS 14"" Cheese Pizza",40.21963,-74.732285,Sausages and Luncheon Meats,12.63,0.432,1.3,30.1,3.66,10.22,263,4.237,2.757,1.728,34530
"LITTLE CAESARS 14"" Pepperoni Pizza",40.21963,-74.732285,Sausages and Luncheon Meats,12.93,0.492,1.5,29.03,3.39,10.81,265,4.314,3.151,1.756,34535
McDONALD'S Bacon Ranch Salad with Crispy Chicken,40.30316,-74.676968,Breakfast Cereals,8.82,0.295,1,6.08,1.53,6.3,110,1.622,2.467,1.619,34538
"McDONALD'S, Apple Dippers",40.30316,-74.676968,Breakfast Cereals,,0,,12.1,9.2,,48,,,,34539
"McDONALD'S, Bacon Egg & Cheese Biscuit",40.30316,-74.676968,Breakfast Cereals,13.45,0.863,0.9,22.26,2.18,18.77,304,8.262,5.546,2.625,34548
